[ T-Deposit ]
    title = Pos 2 Epithermal
     mesh =  reg            # mesh type is region-wise
      reg = 2032
     unit =    3            # unit is [1/source] : only for output=deposit
   letmat =    0            # (D=0) mat ID for LET, 0:real mat, <0: electron for H2O
  dedxfnc =    0            # (D=0) user defined multiplier, 0(no), 1, 2
 material =  all            # (D=all) number of specific material
   output = deposit         # deposit enerygy distribution
  deposit =    0            # (D=0) 0-> total deposit dist, 1-> each process
   e-type =    2            # e-mesh is linear given by emin, emax and ne
     emin =  1.0000000E-02  # minimum value of e-mesh points
     emax =   4.000000      # maximum value of e-mesh points
#    edel =  3.9900000E-02  # mesh width of e-mesh points
       ne =    100          # number of e-mesh points
#    data = ( e(i), i = 1, ne + 1 )
#           1.00000E-02  4.99000E-02  8.98000E-02  1.29700E-01  1.69600E-01
#           2.09500E-01  2.49400E-01  2.89300E-01  3.29200E-01  3.69100E-01
#           4.09000E-01  4.48900E-01  4.88800E-01  5.28700E-01  5.68600E-01
#           6.08500E-01  6.48400E-01  6.88300E-01  7.28200E-01  7.68100E-01
#           8.08000E-01  8.47900E-01  8.87800E-01  9.27700E-01  9.67600E-01
#           1.00750E+00  1.04740E+00  1.08730E+00  1.12720E+00  1.16710E+00
#           1.20700E+00  1.24690E+00  1.28680E+00  1.32670E+00  1.36660E+00
#           1.40650E+00  1.44640E+00  1.48630E+00  1.52620E+00  1.56610E+00
#           1.60600E+00  1.64590E+00  1.68580E+00  1.72570E+00  1.76560E+00
#           1.80550E+00  1.84540E+00  1.88530E+00  1.92520E+00  1.96510E+00
#           2.00500E+00  2.04490E+00  2.08480E+00  2.12470E+00  2.16460E+00
#           2.20450E+00  2.24440E+00  2.28430E+00  2.32420E+00  2.36410E+00
#           2.40400E+00  2.44390E+00  2.48380E+00  2.52370E+00  2.56360E+00
#           2.60350E+00  2.64340E+00  2.68330E+00  2.72320E+00  2.76310E+00
#           2.80300E+00  2.84290E+00  2.88280E+00  2.92270E+00  2.96260E+00
#           3.00250E+00  3.04240E+00  3.08230E+00  3.12220E+00  3.16210E+00
#           3.20200E+00  3.24190E+00  3.28180E+00  3.32170E+00  3.36160E+00
#           3.40150E+00  3.44140E+00  3.48130E+00  3.52120E+00  3.56110E+00
#           3.60100E+00  3.64090E+00  3.68080E+00  3.72070E+00  3.76060E+00
#           3.80050E+00  3.84040E+00  3.88030E+00  3.92020E+00  3.96010E+00
#           4.00000E+00
     axis =   eng           # axis of output
     file = validate_pos2_epithermal.out  # file name of output for the above axis
     part =  all      
# kf/name :  0        
   mother =  all            # (D=all) number of specific mother
#    used :        main (  %)        temp (  %)       total (  %)
#  memory :         105 (  0)           0 (  0)         105 (  0)

#------------------------------------------------------------------------------
#newpage:
#   no. =  1   reg =   2032

x: Deposit Energy [MeV]
y: Number [1/source]     
p: xlin ylog afac(0.8) form(0.9)
h: n            x            y(all     ),hh0l n 
#  e-lower      e-upper        all       r.err 
   1.0000E-02   4.9900E-02   7.1000E-06  0.1187
   4.9900E-02   8.9800E-02   3.2000E-06  0.1768
   8.9800E-02   1.2970E-01   2.4000E-06  0.2041
   1.2970E-01   1.6960E-01   2.1000E-06  0.2182
   1.6960E-01   2.0950E-01   1.2000E-06  0.2887
   2.0950E-01   2.4940E-01   9.0000E-07  0.3333
   2.4940E-01   2.8930E-01   1.1000E-06  0.3015
   2.8930E-01   3.2920E-01   1.0000E-06  0.3162
   3.2920E-01   3.6910E-01   4.0000E-07  0.5000
   3.6910E-01   4.0900E-01   4.0000E-07  0.5000
   4.0900E-01   4.4890E-01   1.0000E-07  1.0000
   4.4890E-01   4.8880E-01   5.0000E-07  0.4472
   4.8880E-01   5.2870E-01   5.0000E-07  0.4472
   5.2870E-01   5.6860E-01   3.0000E-07  0.5774
   5.6860E-01   6.0850E-01   6.0000E-07  0.4082
   6.0850E-01   6.4840E-01   6.0000E-07  0.4082
   6.4840E-01   6.8830E-01   4.0000E-07  0.5000
   6.8830E-01   7.2820E-01   1.0000E-07  1.0000
   7.2820E-01   7.6810E-01   3.0000E-07  0.5774
   7.6810E-01   8.0800E-01   1.0000E-07  1.0000
   8.0800E-01   8.4790E-01   2.0000E-07  0.7071
   8.4790E-01   8.8780E-01   2.0000E-07  0.7071
   8.8780E-01   9.2770E-01   3.0000E-07  0.5774
   9.2770E-01   9.6760E-01   3.0000E-07  0.5774
   9.6760E-01   1.0075E+00   2.0000E-07  0.7071
   1.0075E+00   1.0474E+00   3.0000E-07  0.5774
   1.0474E+00   1.0873E+00   0.0000E+00  0.0000
   1.0873E+00   1.1272E+00   2.0000E-07  0.7071
   1.1272E+00   1.1671E+00   4.0000E-07  0.5000
   1.1671E+00   1.2070E+00   2.0000E-07  0.7071
   1.2070E+00   1.2469E+00   3.0000E-07  0.5774
   1.2469E+00   1.2868E+00   2.0000E-07  0.7071
   1.2868E+00   1.3267E+00   0.0000E+00  0.0000
   1.3267E+00   1.3666E+00   1.0000E-07  1.0000
   1.3666E+00   1.4065E+00   2.0000E-07  0.7071
   1.4065E+00   1.4464E+00   1.0000E-07  1.0000
   1.4464E+00   1.4863E+00   2.0000E-07  0.7071
   1.4863E+00   1.5262E+00   0.0000E+00  0.0000
   1.5262E+00   1.5661E+00   0.0000E+00  0.0000
   1.5661E+00   1.6060E+00   0.0000E+00  0.0000
   1.6060E+00   1.6459E+00   0.0000E+00  0.0000
   1.6459E+00   1.6858E+00   0.0000E+00  0.0000
   1.6858E+00   1.7257E+00   2.0000E-07  0.7071
   1.7257E+00   1.7656E+00   0.0000E+00  0.0000
   1.7656E+00   1.8055E+00   0.0000E+00  0.0000
   1.8055E+00   1.8454E+00   0.0000E+00  0.0000
   1.8454E+00   1.8853E+00   1.0000E-07  1.0000
   1.8853E+00   1.9252E+00   0.0000E+00  0.0000
   1.9252E+00   1.9651E+00   0.0000E+00  0.0000
   1.9651E+00   2.0050E+00   0.0000E+00  0.0000
   2.0050E+00   2.0449E+00   0.0000E+00  0.0000
   2.0449E+00   2.0848E+00   0.0000E+00  0.0000
   2.0848E+00   2.1247E+00   0.0000E+00  0.0000
   2.1247E+00   2.1646E+00   1.0000E-07  1.0000
   2.1646E+00   2.2045E+00   0.0000E+00  0.0000
   2.2045E+00   2.2444E+00   0.0000E+00  0.0000
   2.2444E+00   2.2843E+00   0.0000E+00  0.0000
   2.2843E+00   2.3242E+00   0.0000E+00  0.0000
   2.3242E+00   2.3641E+00   0.0000E+00  0.0000
   2.3641E+00   2.4040E+00   1.0000E-07  1.0000
   2.4040E+00   2.4439E+00   0.0000E+00  0.0000
   2.4439E+00   2.4838E+00   0.0000E+00  0.0000
   2.4838E+00   2.5237E+00   0.0000E+00  0.0000
   2.5237E+00   2.5636E+00   0.0000E+00  0.0000
   2.5636E+00   2.6035E+00   1.0000E-07  1.0000
   2.6035E+00   2.6434E+00   1.0000E-07  1.0000
   2.6434E+00   2.6833E+00   2.0000E-07  0.7071
   2.6833E+00   2.7232E+00   3.0000E-07  0.5774
   2.7232E+00   2.7631E+00   1.0000E-07  1.0000
   2.7631E+00   2.8030E+00   1.0000E-07  1.0000
   2.8030E+00   2.8429E+00   0.0000E+00  0.0000
   2.8429E+00   2.8828E+00   0.0000E+00  0.0000
   2.8828E+00   2.9227E+00   1.0000E-07  1.0000
   2.9227E+00   2.9626E+00   1.0000E-07  1.0000
   2.9626E+00   3.0025E+00   0.0000E+00  0.0000
   3.0025E+00   3.0424E+00   0.0000E+00  0.0000
   3.0424E+00   3.0823E+00   1.0000E-07  1.0000
   3.0823E+00   3.1222E+00   0.0000E+00  0.0000
   3.1222E+00   3.1621E+00   0.0000E+00  0.0000
   3.1621E+00   3.2020E+00   0.0000E+00  0.0000
   3.2020E+00   3.2419E+00   1.0000E-07  1.0000
   3.2419E+00   3.2818E+00   0.0000E+00  0.0000
   3.2818E+00   3.3217E+00   0.0000E+00  0.0000
   3.3217E+00   3.3616E+00   2.0000E-07  0.7071
   3.3616E+00   3.4015E+00   0.0000E+00  0.0000
   3.4015E+00   3.4414E+00   0.0000E+00  0.0000
   3.4414E+00   3.4813E+00   1.0000E-07  1.0000
   3.4813E+00   3.5212E+00   1.0000E-07  1.0000
   3.5212E+00   3.5611E+00   0.0000E+00  0.0000
   3.5611E+00   3.6010E+00   0.0000E+00  0.0000
   3.6010E+00   3.6409E+00   0.0000E+00  0.0000
   3.6409E+00   3.6808E+00   0.0000E+00  0.0000
   3.6808E+00   3.7207E+00   0.0000E+00  0.0000
   3.7207E+00   3.7606E+00   0.0000E+00  0.0000
   3.7606E+00   3.8005E+00   1.0000E-07  1.0000
   3.8005E+00   3.8404E+00   0.0000E+00  0.0000
   3.8404E+00   3.8803E+00   0.0000E+00  0.0000
   3.8803E+00   3.9202E+00   0.0000E+00  0.0000
   3.9202E+00   3.9601E+00   0.0000E+00  0.0000
   3.9601E+00   4.0000E+00   0.0000E+00  0.0000

#   sum over                 2.9000E-05  0.0587

'no. =  1,  reg  =   2032'
msuc: {\huge Pos 2 Epithermal}
msdr: {\it plotted by \ANGEL \version}
msdl: {\it calculated by \PHITS  3.35}
wt: s(0.7)
\vspace{-3}
   vol  &=&   1.0000E+00 [cm^3]
e:
 
# Information for Restart Calculation
# This calculation was newly started
# istdev =  2 # 1:Batch variance, 2:History variance
# resc2  = 1.00000000000000000E+07 # Total source weight or Total source weight / maxcas
# resc3  = 1.00000000000000000E+07 # Total history number or Total batch number
# maxcas =       50000 # History / Batch, only used for istdev=1
