[ T-Deposit ]
    title = Pos 3 Fast
     mesh =  reg            # mesh type is region-wise
      reg = 2033
     unit =    3            # unit is [1/source] : only for output=deposit
   letmat =    0            # (D=0) mat ID for LET, 0:real mat, <0: electron for H2O
  dedxfnc =    0            # (D=0) user defined multiplier, 0(no), 1, 2
 material =  all            # (D=all) number of specific material
   output = deposit         # deposit enerygy distribution
  deposit =    0            # (D=0) 0-> total deposit dist, 1-> each process
   e-type =    2            # e-mesh is linear given by emin, emax and ne
     emin =  1.0000000E-02  # minimum value of e-mesh points
     emax =   10.00000      # maximum value of e-mesh points
#    edel =  9.9900000E-02  # mesh width of e-mesh points
       ne =    100          # number of e-mesh points
#    data = ( e(i), i = 1, ne + 1 )
#           1.00000E-02  1.09900E-01  2.09800E-01  3.09700E-01  4.09600E-01
#           5.09500E-01  6.09400E-01  7.09300E-01  8.09200E-01  9.09100E-01
#           1.00900E+00  1.10890E+00  1.20880E+00  1.30870E+00  1.40860E+00
#           1.50850E+00  1.60840E+00  1.70830E+00  1.80820E+00  1.90810E+00
#           2.00800E+00  2.10790E+00  2.20780E+00  2.30770E+00  2.40760E+00
#           2.50750E+00  2.60740E+00  2.70730E+00  2.80720E+00  2.90710E+00
#           3.00700E+00  3.10690E+00  3.20680E+00  3.30670E+00  3.40660E+00
#           3.50650E+00  3.60640E+00  3.70630E+00  3.80620E+00  3.90610E+00
#           4.00600E+00  4.10590E+00  4.20580E+00  4.30570E+00  4.40560E+00
#           4.50550E+00  4.60540E+00  4.70530E+00  4.80520E+00  4.90510E+00
#           5.00500E+00  5.10490E+00  5.20480E+00  5.30470E+00  5.40460E+00
#           5.50450E+00  5.60440E+00  5.70430E+00  5.80420E+00  5.90410E+00
#           6.00400E+00  6.10390E+00  6.20380E+00  6.30370E+00  6.40360E+00
#           6.50350E+00  6.60340E+00  6.70330E+00  6.80320E+00  6.90310E+00
#           7.00300E+00  7.10290E+00  7.20280E+00  7.30270E+00  7.40260E+00
#           7.50250E+00  7.60240E+00  7.70230E+00  7.80220E+00  7.90210E+00
#           8.00200E+00  8.10190E+00  8.20180E+00  8.30170E+00  8.40160E+00
#           8.50150E+00  8.60140E+00  8.70130E+00  8.80120E+00  8.90110E+00
#           9.00100E+00  9.10090E+00  9.20080E+00  9.30070E+00  9.40060E+00
#           9.50050E+00  9.60040E+00  9.70030E+00  9.80020E+00  9.90010E+00
#           1.00000E+01
     axis =   eng           # axis of output
     file = validate_pos3_fast.out  # file name of output for the above axis
     part =  all      
# kf/name :  0        
   mother =  all            # (D=all) number of specific mother
#    used :        main (  %)        temp (  %)       total (  %)
#  memory :         105 (  0)           0 (  0)         105 (  0)

#------------------------------------------------------------------------------
#newpage:
#   no. =  1   reg =   2033

x: Deposit Energy [MeV]
y: Number [1/source]     
p: xlin ylog afac(0.8) form(0.9)
h: n            x            y(all     ),hh0l n 
#  e-lower      e-upper        all       r.err 
   1.0000E-02   1.0990E-01   2.0000E-06  0.2236
   1.0990E-01   2.0980E-01   7.0000E-07  0.3780
   2.0980E-01   3.0970E-01   7.0000E-07  0.3780
   3.0970E-01   4.0960E-01   1.0000E-07  1.0000
   4.0960E-01   5.0950E-01   2.0000E-07  0.7071
   5.0950E-01   6.0940E-01   0.0000E+00  0.0000
   6.0940E-01   7.0930E-01   0.0000E+00  0.0000
   7.0930E-01   8.0920E-01   1.0000E-07  1.0000
   8.0920E-01   9.0910E-01   0.0000E+00  0.0000
   9.0910E-01   1.0090E+00   0.0000E+00  0.0000
   1.0090E+00   1.1089E+00   1.0000E-07  1.0000
   1.1089E+00   1.2088E+00   1.0000E-07  1.0000
   1.2088E+00   1.3087E+00   0.0000E+00  0.0000
   1.3087E+00   1.4086E+00   0.0000E+00  0.0000
   1.4086E+00   1.5085E+00   2.0000E-07  0.7071
   1.5085E+00   1.6084E+00   1.0000E-07  1.0000
   1.6084E+00   1.7083E+00   0.0000E+00  0.0000
   1.7083E+00   1.8082E+00   0.0000E+00  0.0000
   1.8082E+00   1.9081E+00   3.0000E-07  0.5774
   1.9081E+00   2.0080E+00   1.0000E-07  1.0000
   2.0080E+00   2.1079E+00   1.0000E-07  1.0000
   2.1079E+00   2.2078E+00   0.0000E+00  0.0000
   2.2078E+00   2.3077E+00   1.0000E-07  1.0000
   2.3077E+00   2.4076E+00   0.0000E+00  0.0000
   2.4076E+00   2.5075E+00   0.0000E+00  0.0000
   2.5075E+00   2.6074E+00   0.0000E+00  0.0000
   2.6074E+00   2.7073E+00   0.0000E+00  0.0000
   2.7073E+00   2.8072E+00   0.0000E+00  0.0000
   2.8072E+00   2.9071E+00   0.0000E+00  0.0000
   2.9071E+00   3.0070E+00   0.0000E+00  0.0000
   3.0070E+00   3.1069E+00   1.0000E-07  1.0000
   3.1069E+00   3.2068E+00   0.0000E+00  0.0000
   3.2068E+00   3.3067E+00   1.0000E-07  1.0000
   3.3067E+00   3.4066E+00   0.0000E+00  0.0000
   3.4066E+00   3.5065E+00   1.0000E-07  1.0000
   3.5065E+00   3.6064E+00   0.0000E+00  0.0000
   3.6064E+00   3.7063E+00   0.0000E+00  0.0000
   3.7063E+00   3.8062E+00   0.0000E+00  0.0000
   3.8062E+00   3.9061E+00   0.0000E+00  0.0000
   3.9061E+00   4.0060E+00   0.0000E+00  0.0000
   4.0060E+00   4.1059E+00   0.0000E+00  0.0000
   4.1059E+00   4.2058E+00   0.0000E+00  0.0000
   4.2058E+00   4.3057E+00   0.0000E+00  0.0000
   4.3057E+00   4.4056E+00   0.0000E+00  0.0000
   4.4056E+00   4.5055E+00   0.0000E+00  0.0000
   4.5055E+00   4.6054E+00   0.0000E+00  0.0000
   4.6054E+00   4.7053E+00   0.0000E+00  0.0000
